DATE,LEU0254631400Q
2000-01-01,949
2000-04-01,977
2000-07-01,952
2000-10-01,973
2001-01-01,985
2001-04-01,976
2001-07-01,995
2001-10-01,1010
2002-01-01,1024
2002-04-01,1001
2002-07-01,1015
2002-10-01,1040
2003-01-01,1058
2003-04-01,1048
2003-07-01,1056
2003-10-01,1072
2004-01-01,1099
2004-04-01,1073
2004-07-01,1111
2004-10-01,1109
2005-01-01,1127
2005-04-01,1089
2005-07-01,1103
2005-10-01,1130
2006-01-01,1160
2006-04-01,1159
2006-07-01,1147
2006-10-01,1150
2007-01-01,1162
2007-04-01,1176
2007-07-01,1205
2007-10-01,1223
2008-01-01,1236
2008-04-01,1243
2008-07-01,1234
2008-10-01,1238
2009-01-01,1258
2009-04-01,1250
2009-07-01,1259
2009-10-01,1227
2010-01-01,1268
2010-04-01,1229
2010-07-01,1255
2010-10-01,1267
2011-01-01,1266
2011-04-01,1268
2011-07-01,1267
2011-10-01,1274
2012-01-01,1309
2012-04-01,1342
2012-07-01,1300
2012-10-01,1340
2013-01-01,1344
2013-04-01,1345
2013-07-01,1338
2013-10-01,1367
2014-01-01,1347
2014-04-01,1343
2014-07-01,1326
2014-10-01,1366
2015-01-01,1372
2015-04-01,1357
2015-07-01,1381
2015-10-01,1423
2016-01-01,1431
2016-04-01,1405
2016-07-01,1408
2016-10-01,1443
2017-01-01,1436
2017-04-01,1442
2017-07-01,1411
2017-10-01,1475
2018-01-01,1454
2018-04-01,1463
2018-07-01,1460
2018-10-01,1505
2019-01-01,1559
2019-04-01,1540
2019-07-01,1533
2019-10-01,1517
2020-01-01,1556
2020-04-01,1603
2020-07-01,1598
2020-10-01,1572
