DATE,LEU0254738200Q
2000-01-01,675
2000-04-01,677
2000-07-01,690
2000-10-01,703
2001-01-01,711
2001-04-01,709
2001-07-01,704
2001-10-01,730
2002-01-01,737
2002-04-01,729
2002-07-01,739
2002-10-01,735
2003-01-01,756
2003-04-01,753
2003-07-01,755
2003-10-01,766
2004-01-01,767
2004-04-01,782
2004-07-01,776
2004-10-01,801
2005-01-01,804
2005-04-01,805
2005-07-01,812
2005-10-01,829
2006-01-01,816
2006-04-01,829
2006-07-01,856
2006-10-01,859
2007-01-01,846
2007-04-01,859
2007-07-01,868
2007-10-01,861
2008-01-01,890
2008-04-01,884
2008-07-01,916
2008-10-01,881
2009-01-01,907
2009-04-01,900
2009-07-01,913
2009-10-01,909
2010-01-01,915
2010-04-01,920
2010-07-01,921
2010-10-01,937
2011-01-01,939
2011-04-01,931
2011-07-01,946
2011-10-01,946
2012-01-01,959
2012-04-01,945
2012-07-01,948
2012-10-01,953
2013-01-01,984
2013-04-01,962
2013-07-01,962
2013-10-01,992
2014-01-01,975
2014-04-01,969
2014-07-01,980
2014-10-01,999
2015-01-01,988
2015-04-01,987
2015-07-01,1000
2015-10-01,1010
2016-01-01,1024
2016-04-01,1019
2016-07-01,1024
2016-10-01,1042
2017-01-01,1044
2017-04-01,1055
2017-07-01,1058
2017-10-01,1052
2018-01-01,1054
2018-04-01,1080
2018-07-01,1084
2018-10-01,1102
2019-01-01,1100
2019-04-01,1117
2019-07-01,1143
2019-10-01,1165
2020-01-01,1137
2020-04-01,1167
2020-07-01,1198
2020-10-01,1168
